abv,ibu,label
6.0,70.0,American IPA
5.7,10.0,Hefeweizen
6.3,65.0,American IPA
4.8,11.0,American Pale Wheat Ale
4.6,18.0,American Amber / Red Lager
4.6,18.0,American Amber / Red Lager
4.6,18.0,American Amber / Red Lager
4.6,18.0,American Amber / Red Lager
4.0,9.0,American Dark Wheat Ale
5.4,15.0,Hefeweizen
7.2,100.0,American IPA
6.6,30.0,Bock
4.8,28.0,Kölsch
5.0,12.0,Cream Ale
4.8,9.0,American Pilsner
6.4,66.0,American IPA
6.4,95.0,American IPA
5.6,70.0,American IPA
5.2,30.0,German Pilsener
6.0,30.0,Saison / Farmhouse Ale
5.8,40.0,American Stout
5.7,42.0,American Amber / Red Ale
5.2,20.0,Fruit / Vegetable Beer
6.5,75.0,American IPA
5.7,40.0,American Pale Ale (APA)
5.7,47.0,American Pale Ale (APA)
5.8,11.0,Hefeweizen
6.1,30.0,American Brown Ale
5.9,42.0,English India Pale Ale (IPA)
4.6,30.0,American Amber / Red Ale
7.2,33.0,Altbier
4.0,8.0,Fruit / Vegetable Beer
4.6,30.0,Altbier
4.6,8.0,Gose
4.8,20.0,German Pilsener
6.2,65.0,American IPA
5.6,55.0,Czech Pilsener
5.2,29.0,American Stout
3.8,18.0,English Brown Ale
5.1,31.0,Belgian Pale Ale
5.3,20.0,American Pilsner
5.1,32.0,American Amber / Red Ale
4.3,18.0,American Blonde Ale
7.9,18.0,Fruit / Vegetable Beer
4.7,11.0,Kölsch
5.0,40.0,American Pale Ale (APA)
6.9,70.0,American IPA
7.0,32.0,American Brown Ale
6.0,30.0,American Amber / Red Ale
5.1,20.0,Fruit / Vegetable Beer
5.5,13.0,Hefeweizen
5.1,20.0,Fruit / Vegetable Beer
4.5,21.0,Belgian Pale Ale
5.0,18.0,American Pale Wheat Ale
9.0,30.0,Tripel
6.0,14.0,Fruit / Vegetable Beer
8.5,85.0,American Double / Imperial IPA
9.9,93.0,American Double / Imperial IPA
8.0,88.0,American IPA
6.0,25.0,American Blonde Ale
9.5,49.0,American Brown Ale
6.6,44.0,American Pale Ale (APA)
5.0,20.0,Saison / Farmhouse Ale
6.5,47.0,American Stout
5.0,35.0,American Amber / Red Ale
6.5,60.0,American IPA
6.5,60.0,American IPA
5.0,12.0,American Blonde Ale
5.1,20.0,American Brown Ale
6.0,24.0,American Amber / Red Ale
5.0,12.0,Witbier
6.8,68.0,American IPA
5.5,15.0,American Pale Wheat Ale
4.5,18.0,Munich Helles Lager
5.7,30.0,American Porter
6.2,65.0,American IPA
3.7,34.0,American Porter
3.7,21.0,Witbier
3.7,53.0,American Pale Ale (APA)
7.2,75.0,American IPA
7.2,75.0,American IPA
4.2,22.0,American Blonde Ale
5.2,27.0,American Porter
5.2,23.0,American Amber / Red Ale
5.4,42.0,American Pale Ale (APA)
5.3,11.0,Fruit / Vegetable Beer
5.3,30.0,American Brown Ale
7.1,62.0,American IPA
5.3,16.0,American Blonde Ale
6.3,61.0,American IPA
6.3,61.0,American IPA
4.8,12.0,Witbier
5.0,24.0,American Brown Ale
5.7,70.0,American IPA
8.0,100.0,American Double / Imperial IPA
7.5,85.0,American IPA
6.0,24.0,American Pale Wheat Ale
8.0,100.0,American Double / Imperial IPA
6.3,30.0,Cream Ale
5.8,28.0,Kölsch
4.3,8.0,Berliner Weissbier
8.7,80.0,American Double / Imperial IPA
5.1,24.0,American Amber / Red Ale
7.5,51.0,American IPA
6.5,20.0,Saison / Farmhouse Ale
4.8,18.0,Vienna Lager
5.1,24.0,American Amber / Red Ale
6.8,66.0,American IPA
4.8,44.0,American Pale Ale (APA)
9.2,75.0,American Double / Imperial IPA
7.5,85.0,American IPA
6.8,75.0,American IPA
5.2,50.0,American Pale Ale (APA)
6.7,75.0,American Amber / Red Ale
5.5,30.0,Saison / Farmhouse Ale
4.7,46.0,American Pale Wheat Ale
5.8,40.0,American Stout
6.5,115.0,American Amber / Red Ale
5.6,28.0,American Blonde Ale
6.0,49.0,Extra Special / Strong Bitter (ESB)
5.6,18.0,Munich Helles Lager
4.9,24.0,Märzen / Oktoberfest
4.7,14.0,American Pale Wheat Ale
4.6,24.0,Schwarzbier
5.0,35.0,German Pilsener
5.2,21.0,Cream Ale
5.2,21.0,American Blonde Ale
7.0,70.0,American IPA
5.3,10.0,American Blonde Ale
5.3,14.0,American Pale Wheat Ale
3.7,10.0,Light Lager
5.2,30.0,American Pilsner
5.3,30.0,Milk / Sweet Stout
8.6,35.0,German Pilsener
4.2,24.0,American Pale Wheat Ale
5.0,22.0,Cream Ale
4.2,24.0,American Pale Wheat Ale
7.0,22.0,American Porter
6.5,32.0,Bock
5.5,15.0,Märzen / Oktoberfest
8.5,86.0,American Double / Imperial IPA
8.5,86.0,American Double / Imperial IPA
6.1,11.0,Pumpkin Ale
6.5,65.0,American IPA
4.8,10.0,Hefeweizen
4.8,15.0,English Brown Ale
5.7,29.0,American Pale Ale (APA)
4.5,40.0,American IPA
6.5,70.0,American IPA
5.0,29.0,American Pale Lager
5.6,21.0,Euro Dark Lager
5.2,18.0,American Amber / Red Ale
5.0,29.0,American Pale Lager
5.2,18.0,American Amber / Red Ale
5.0,29.0,American Pale Lager
6.5,70.0,American IPA
5.2,18.0,American Amber / Red Ale
6.5,70.0,American IPA
5.2,18.0,American Amber / Red Ale
3.4,6.0,Berliner Weissbier
8.8,85.0,American Double / Imperial IPA
8.8,85.0,American Double / Imperial IPA
5.6,20.0,Hefeweizen
5.6,30.0,American Blonde Ale
5.2,50.0,American Amber / Red Ale
4.2,35.0,Cream Ale
5.1,31.0,American Pale Ale (APA)
7.2,80.0,American IPA
4.5,50.0,American IPA
4.9,26.0,Milk / Sweet Stout
4.8,19.0,English Brown Ale
6.0,38.0,Pumpkin Ale
6.0,25.0,American Porter
5.6,47.0,Extra Special / Strong Bitter (ESB)
6.3,42.0,American Pale Ale (APA)
